	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AI059442_at	92.5	A	0.089405	-0.4	NC	0.500000	rc_AI059442 UI-R-C1-kw-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-f-11-0-UI /clone_end=3  /gb=AI059442 /ug=Rn.19174 /len=386
rc_AI059443_at	6.5	A	0.996933	0.4	NC	0.725202	rc_AI059443 UI-R-C1-kw-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-f-12-0-UI /clone_end=3  /gb=AI059443 /ug=Rn.8922 /len=422
rc_AI059444_at	126.3	A	0.339558	-0.7	NC	0.500000	rc_AI059444 UI-R-C1-kw-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-07-0-UI /clone_end=3  /gb=AI059444 /ug=Rn.21084 /len=493
rc_AI059446_at	18.9	A	0.892699	0.3	NC	0.783877	rc_AI059446 UI-R-C1-kw-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-09-0-UI /clone_end=3  /gb=AI059446 /ug=Rn.19175 /len=356
rc_AI059447_at	12.6	A	0.939581	2.7	MI	0.002667	rc_AI059447 UI-R-C1-kw-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-10-0-UI /clone_end=3  /gb=AI059447 /ug=Rn.21085 /len=412
rc_AI059448_at	28.6	A	0.641310	-0.5	NC	0.500000	rc_AI059448 UI-R-C1-kw-g-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-11-0-UI /clone_end=3  /gb=AI059448 /ug=Rn.21086 /len=420
rc_AI059449_at	109.4	P	0.031336	0.2	NC	0.500000	rc_AI059449 UI-R-C1-kw-g-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-12-0-UI /clone_end=3  /gb=AI059449 /ug=Rn.19464 /len=515
rc_AI059450_at	71.0	A	0.749276	0.5	NC	0.189741	rc_AI059450 UI-R-C1-kw-h-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-h-07-0-UI /clone_end=3  /gb=AI059450 /ug=Rn.19176 /len=254
rc_AI059453_at	123.9	A	0.189687	0.5	NC	0.500000	rc_AI059453 UI-R-C1-kw-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-h-10-0-UI /clone_end=3  /gb=AI059453 /ug=Rn.21088 /len=385
rc_AI059456_at	224.6	A	0.081337	0.5	NC	0.232922	rc_AI059456 UI-R-C1-lg-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-a-01-0-UI /clone_end=3  /gb=AI059456 /ug=Rn.21089 /len=350
rc_AI059458_at	24.1	A	0.697453	0.7	NC	0.500000	rc_AI059458 UI-R-C1-lg-a-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-a-04-0-UI /clone_end=3  /gb=AI059458 /ug=Rn.19456 /len=402
rc_AI059462_at	62.2	A	0.541191	1.1	NC	0.500000	rc_AI059462 UI-R-C1-lg-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-b-01-0-UI /clone_end=3  /gb=AI059462 /ug=Rn.19502 /len=464
rc_AI059463_at	20.9	A	0.715253	-0.9	NC	0.810259	rc_AI059463 UI-R-C1-lg-b-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-b-03-0-UI /clone_end=3  /gb=AI059463 /ug=Rn.19178 /len=495
rc_AI059466_f_at	385.6	P	0.027860	0.3	NC	0.500000	rc_AI059466 UI-R-C1-lg-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-b-06-0-UI /clone_end=3  /gb=AI059466 /ug=Rn.19180 /len=160
rc_AI059468_at	12.7	A	0.926170	0.4	NC	0.500000	rc_AI059468 UI-R-C1-lg-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-c-01-0-UI /clone_end=3  /gb=AI059468 /ug=Rn.13682 /len=451
rc_AI059469_s_at	39.7	A	0.824011	0.2	NC	0.500000	rc_AI059469 UI-R-C1-lg-c-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-c-03-0-UI /clone_end=3  /gb=AI059469 /ug=Rn.19181 /len=463
rc_AI059471_at	36.2	A	0.660442	-1.3	NC	0.652721	rc_AI059471 UI-R-C1-lg-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-c-05-0-UI /clone_end=3  /gb=AI059471 /ug=Rn.19182 /len=508
rc_AI059476_at	8.4	A	0.882840	-0.6	NC	0.699711	rc_AI059476 UI-R-C1-lg-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-d-04-0-UI /clone_end=3  /gb=AI059476 /ug=Rn.19183 /len=338
rc_AI059477_f_at	1124.2	M	0.043968	0.2	NC	0.500000	rc_AI059477 UI-R-C1-lg-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-d-05-0-UI /clone_end=3  /gb=AI059477 /ug=Rn.19184 /len=425
rc_AI059480_at	24.0	A	0.951005	0.2	NC	0.699711	rc_AI059480 UI-R-C1-lg-e-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-e-03-0-UI /clone_end=3  /gb=AI059480 /ug=Rn.21091 /len=489
rc_AI059481_at	635.6	P	0.000388	-0.3	D	0.999969	rc_AI059481 UI-R-C1-lg-e-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-e-04-0-UI /clone_end=3  /gb=AI059481 /ug=Rn.21092 /len=461
rc_AI059483_at	30.5	A	0.479380	-1.2	NC	0.500000	rc_AI059483 UI-R-C1-lg-e-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-e-06-0-UI /clone_end=3  /gb=AI059483 /ug=Rn.21093 /len=477
rc_AI059485_at	29.9	A	0.945530	0.3	NC	0.500000	rc_AI059485 UI-R-C1-lg-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-f-01-0-UI /clone_end=3  /gb=AI059485 /ug=Rn.19580 /len=296
rc_AI059486_at	6.4	A	0.956032	0.2	NC	0.919605	rc_AI059486 UI-R-C1-lg-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-f-03-0-UI /clone_end=3  /gb=AI059486 /ug=Rn.19187 /len=509
rc_AI059487_at	2904.4	P	0.000468	0.1	NC	0.500000	rc_AI059487 UI-R-C1-lg-f-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-f-04-0-UI /clone_end=3  /gb=AI059487 /ug=Rn.19188 /len=421
rc_AI059490_at	33.3	A	0.660442	0.4	NC	0.347279	rc_AI059490 UI-R-C1-lg-f-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-f-07-0-UI /clone_end=3  /gb=AI059490 /ug=Rn.21094 /len=251
rc_AI059494_at	131.2	P	0.021866	0.1	NC	0.500000	rc_AI059494 UI-R-C1-lg-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-g-05-0-UI /clone_end=3  /gb=AI059494 /ug=Rn.21095 /len=479
rc_AI059496_at	166.4	P	0.003585	-0.1	NC	0.500000	rc_AI059496 UI-R-C1-lg-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-g-07-0-UI /clone_end=3  /gb=AI059496 /ug=Rn.12097 /len=563
rc_AI059498_at	34.5	A	0.810313	0.7	NC	0.036319	rc_AI059498 UI-R-C1-lg-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-h-03-0-UI /clone_end=3  /gb=AI059498 /ug=Rn.19190 /len=406
rc_AI059499_at	559.8	P	0.001354	-0.2	NC	0.969251	rc_AI059499 UI-R-C1-lg-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-h-04-0-UI /clone_end=3  /gb=AI059499 /ug=Rn.19191 /len=375
rc_AI059500_at	10.6	A	0.995820	0.7	NC	0.306825	rc_AI059500 UI-R-C1-lg-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-h-05-0-UI /clone_end=3  /gb=AI059500 /ug=Rn.22571 /len=393
rc_AI059501_at	61.8	A	0.479380	0.6	NC	0.440543	rc_AI059501 UI-R-C1-lg-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-h-06-0-UI /clone_end=3  /gb=AI059501 /ug=Rn.24127 /len=337
rc_AI059502_at	61.7	A	0.127645	-0.4	NC	0.500000	rc_AI059502 UI-R-C1-lg-h-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-h-07-0-UI /clone_end=3  /gb=AI059502 /ug=Rn.19192 /len=422
rc_AI059503_at	354.9	A	0.204022	-0.5	NC	0.856752	rc_AI059503 UI-R-C1-kw-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-a-01-0-UI /clone_end=3  /gb=AI059503 /ug=Rn.19170 /len=421
rc_AI059504_s_at	81.9	A	0.561639	-0.6	NC	0.500000	rc_AI059504 UI-R-C1-kw-a-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-a-02-0-UI /clone_end=3  /gb=AI059504 /ug=Rn.11357 /len=460
rc_AI059511_at	60.9	A	0.621816	1.2	NC	0.205324	rc_AI059511 UI-R-C1-kw-b-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-b-03-0-UI /clone_end=3  /gb=AI059511 /ug=Rn.19195 /len=532
rc_AI059513_at	361.7	A	0.127645	-0.1	NC	0.500000	rc_AI059513 UI-R-C1-kw-b-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-b-05-0-UI /clone_end=3  /gb=AI059513 /ug=Rn.19196 /len=434
rc_AI059514_at	52.0	A	0.872355	0.3	NC	0.320081	rc_AI059514 UI-R-C1-kw-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-b-06-0-UI /clone_end=3  /gb=AI059514 /ug=Rn.21096 /len=391
rc_AI059516_at	44.7	A	0.732537	-0.7	NC	0.500000	rc_AI059516 UI-R-C1-kw-c-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-02-0-UI /clone_end=3  /gb=AI059516 /ug=Rn.23668 /len=195
rc_AI059517_at	127.4	A	0.561639	0.8	NC	0.227243	rc_AI059517 UI-R-C1-kw-c-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-03-0-UI /clone_end=3  /gb=AI059517 /ug=Rn.21097 /len=400
rc_AI059518_at	15.2	A	0.892699	0.7	NC	0.268596	rc_AI059518 UI-R-C1-kw-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-04-0-UI /clone_end=3  /gb=AI059518 /ug=Rn.19197 /len=398
rc_AI059519_at	122.2	A	0.378184	0.5	NC	0.232922	rc_AI059519 UI-R-C1-kw-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-05-0-UI /clone_end=3  /gb=AI059519 /ug=Rn.19198 /len=472
rc_AI059520_at	6.2	A	0.991311	0.1	NC	0.737535	rc_AI059520 UI-R-C1-kw-c-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-06-0-UI /clone_end=3  /gb=AI059520 /ug=Rn.21098 /len=422
rc_AI059522_at	40.7	A	0.320830	1.5	NC	0.123160	rc_AI059522 UI-R-C1-kw-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-d-02-0-UI /clone_end=3  /gb=AI059522 /ug=Rn.21099 /len=193
rc_AI059523_at	24.6	A	0.986908	-1.5	NC	0.500000	rc_AI059523 UI-R-C1-kw-d-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-d-03-0-UI /clone_end=3  /gb=AI059523 /ug=Rn.21100 /len=198
rc_AI059526_at	24.0	A	0.715253	0.6	NC	0.492541	rc_AI059526 UI-R-C1-kw-e-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-01-0-UI /clone_end=3  /gb=AI059526 /ug=Rn.19199 /len=447
rc_AI059527_i_at	25.6	A	0.849855	0.2	NC	0.500000	rc_AI059527 UI-R-C1-kw-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-02-0-UI /clone_end=3  /gb=AI059527 /ug=Rn.19200 /len=128
rc_AI059527_r_at	27.9	A	0.396484	-0.7	NC	0.985063	rc_AI059527 UI-R-C1-kw-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-02-0-UI /clone_end=3  /gb=AI059527 /ug=Rn.19200 /len=128
rc_AI059527_f_at	250.5	A	0.081337	0.4	NC	0.022708	rc_AI059527 UI-R-C1-kw-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-02-0-UI /clone_end=3  /gb=AI059527 /ug=Rn.19200 /len=128
rc_AI059530_at	120.8	M	0.043968	1.9	I	0.000013	rc_AI059530 UI-R-C1-kw-e-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-05-0-UI /clone_end=3  /gb=AI059530 /ug=Rn.19201 /len=429
rc_AI059531_at	40.3	A	0.602006	-0.6	NC	0.500000	rc_AI059531 UI-R-C1-kw-e-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-06-0-UI /clone_end=3  /gb=AI059531 /ug=Rn.21102 /len=125
rc_AI059536_at	9.9	A	0.992457	0.5	NC	0.500000	rc_AI059536 UI-R-C1-kw-g-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-01-0-UI /clone_end=3  /gb=AI059536 /ug=Rn.19202 /len=372
rc_AI059539_at	61.0	A	0.339558	1.0	NC	0.062599	rc_AI059539 UI-R-C1-kw-g-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-g-06-0-UI /clone_end=3  /gb=AI059539 /ug=Rn.22572 /len=457
rc_AI059543_at	710.0	P	0.039365	0.3	NC	0.500000	rc_AI059543 UI-R-C1-kw-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-h-05-0-UI /clone_end=3  /gb=AI059543 /ug=Rn.19204 /len=299
rc_AI059548_at	176.2	A	0.162935	0.6	NC	0.500000	rc_AI059548 UI-R-C1-lj-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-a-11-0-UI /clone_end=3  /gb=AI059548 /ug=Rn.21103 /len=468
rc_AI059549_at	324.5	P	0.001141	-0.0	NC	0.500000	rc_AI059549 UI-R-C1-lj-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-b-01-0-UI /clone_end=3  /gb=AI059549 /ug=Rn.18795 /len=299
rc_AI059555_at	36.6	A	0.795978	1.8	NC	0.011266	rc_AI059555 UI-R-C1-lj-b-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-b-07-0-UI /clone_end=3  /gb=AI059555 /ug=Rn.9777 /len=296
rc_AI059559_at	442.8	A	0.320830	1.1	NC	0.174908	rc_AI059559 UI-R-C1-lj-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-b-11-0-UI /clone_end=3  /gb=AI059559 /ug=Rn.19210 /len=387
rc_AI059560_at	44.7	A	0.861235	0.6	NC	0.425834	rc_AI059560 UI-R-C1-lj-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-b-12-0-UI /clone_end=3  /gb=AI059560 /ug=Rn.9248 /len=274
rc_AI059562_at	82.7	A	0.339558	-0.1	NC	0.596031	rc_AI059562 UI-R-C1-lj-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-c-04-0-UI /clone_end=3  /gb=AI059562 /ug=Rn.19211 /len=203
rc_AI059563_at	24.5	A	0.795978	0.7	NC	0.403969	rc_AI059563 UI-R-C1-lj-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-c-05-0-UI /clone_end=3  /gb=AI059563 /ug=Rn.19560 /len=339
rc_AI059564_at	257.5	A	0.339558	0.3	NC	0.028241	rc_AI059564 UI-R-C1-lj-c-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-c-06-0-UI /clone_end=3  /gb=AI059564 /ug=Rn.21105 /len=188
rc_AI059566_at	703.2	P	0.024711	0.1	NC	0.500000	rc_AI059566 UI-R-C1-lj-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-c-08-0-UI /clone_end=3  /gb=AI059566 /ug=Rn.21106 /len=444
rc_AI059568_at	4061.3	P	0.001602	0.1	NC	0.500000	rc_AI059568 UI-R-C1-lj-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-c-12-0-UI /clone_end=3  /gb=AI059568 /ug=Rn.16887 /len=456
rc_AI059568_g_at	9806.8	P	0.000219	0.1	NC	0.500000	rc_AI059568 UI-R-C1-lj-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-c-12-0-UI /clone_end=3  /gb=AI059568 /ug=Rn.16887 /len=456
rc_AI059569_at	236.1	P	0.019304	0.0	NC	0.500000	rc_AI059569 UI-R-C1-lj-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-d-01-0-UI /clone_end=3  /gb=AI059569 /ug=Rn.19213 /len=289
rc_AI059574_at	334.6	P	0.000219	0.0	NC	0.500000	rc_AI059574 UI-R-C1-lj-d-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-d-07-0-UI /clone_end=3  /gb=AI059574 /ug=Rn.19215 /len=406
rc_AI059575_at	112.1	A	0.107301	0.9	NC	0.053906	rc_AI059575 UI-R-C1-lj-d-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-d-08-0-UI /clone_end=3  /gb=AI059575 /ug=Rn.19216 /len=416
rc_AI059580_at	92.3	A	0.358690	-0.9	NC	0.500000	rc_AI059580 UI-R-C1-lj-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-e-02-0-UI /clone_end=3  /gb=AI059580 /ug=Rn.19219 /len=355
rc_AI059586_at	57.3	A	0.781017	2.2	NC	0.022708	rc_AI059586 UI-R-C1-lj-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-e-09-0-UI /clone_end=3  /gb=AI059586 /ug=Rn.19221 /len=284
rc_AI059587_at	108.6	A	0.175989	-0.1	NC	0.500000	rc_AI059587 UI-R-C1-lj-e-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-e-10-0-UI /clone_end=3  /gb=AI059587 /ug=Rn.21107 /len=436
rc_AI059588_at	72.3	A	0.621816	0.6	NC	0.500000	rc_AI059588 UI-R-C1-lj-e-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-e-11-0-UI /clone_end=3  /gb=AI059588 /ug=Rn.16503 /len=369
rc_AI059593_s_at	338.3	A	0.117160	0.2	NC	0.151871	rc_AI059593 UI-R-C1-lj-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-f-10-0-UI /clone_end=3  /gb=AI059593 /ug=Rn.19561 /len=221
rc_AI059595_at	44.9	A	0.162935	-0.1	NC	0.500000	rc_AI059595 UI-R-C1-lj-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-f-12-0-UI /clone_end=3  /gb=AI059595 /ug=Rn.19223 /len=469
rc_AI059599_at	21.3	A	0.810313	0.6	NC	0.018966	rc_AI059599 UI-R-C1-lj-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-g-04-0-UI /clone_end=3  /gb=AI059599 /ug=Rn.21108 /len=421
rc_AI059601_at	76.0	A	0.781017	-0.6	NC	0.749578	rc_AI059601 UI-R-C1-lj-g-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-g-06-0-UI /clone_end=3  /gb=AI059601 /ug=Rn.16597 /len=460
rc_AI059602_at	281.4	A	0.127645	-0.0	NC	0.767078	rc_AI059602 UI-R-C1-lj-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-g-07-0-UI /clone_end=3  /gb=AI059602 /ug=Rn.19032 /len=421
rc_AI059603_at	253.4	P	0.031336	0.5	NC	0.477632	rc_AI059603 UI-R-C1-lj-g-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-g-08-0-UI /clone_end=3  /gb=AI059603 /ug=Rn.19226 /len=450
rc_AI059604_at	760.3	A	0.138765	-0.0	NC	0.500000	rc_AI059604 UI-R-C1-lj-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-g-09-0-UI /clone_end=3  /gb=AI059604 /ug=Rn.4185 /len=374
rc_AI059608_at	149.0	A	0.117160	0.2	NC	0.500000	rc_AI059608 UI-R-C1-lj-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-h-02-0-UI /clone_end=3  /gb=AI059608 /ug=Rn.19467 /len=341
rc_AI059609_at	331.8	A	0.162935	0.1	NC	0.500000	rc_AI059609 UI-R-C1-lj-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-h-03-0-UI /clone_end=3  /gb=AI059609 /ug=Rn.19227 /len=219
rc_AI059610_at	44.7	A	0.602006	-0.7	NC	0.447930	rc_AI059610 UI-R-C1-lj-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-h-04-0-UI /clone_end=3  /gb=AI059610 /ug=Rn.7627 /len=351
rc_AI059614_at	12.9	A	0.849473	-1.7	NC	0.941875	rc_AI059614 UI-R-C1-lj-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lj-h-10-0-UI /clone_end=3  /gb=AI059614 /ug=Rn.21110 /len=421
rc_AI059618_at	58.7	A	0.267463	-1.3	NC	0.996037	rc_AI059618 UI-R-C1-le-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-a-09-0-UI /clone_end=3  /gb=AI059618 /ug=Rn.21112 /len=504
rc_AI059620_at	169.8	A	0.250724	-0.1	NC	0.500000	rc_AI059620 UI-R-C1-le-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-a-11-0-UI /clone_end=3  /gb=AI059620 /ug=Rn.19232 /len=448
rc_AI059621_at	45.3	A	0.697453	-0.1	NC	0.500000	rc_AI059621 UI-R-C1-le-a-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-a-12-0-UI /clone_end=3  /gb=AI059621 /ug=Rn.19233 /len=503
rc_AI059622_at	238.4	A	0.127645	0.1	NC	0.500000	rc_AI059622 UI-R-C1-le-b-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-b-08-0-UI /clone_end=3  /gb=AI059622 /ug=Rn.12854 /len=435
rc_AI059623_at	33.7	A	0.849473	0.3	NC	0.500000	rc_AI059623 UI-R-C1-le-b-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-b-09-0-UI /clone_end=3  /gb=AI059623 /ug=Rn.19090 /len=301
rc_AI059626_at	12.5	A	0.715253	-1.1	NC	0.500000	rc_AI059626 UI-R-C1-le-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-b-12-0-UI /clone_end=3  /gb=AI059626 /ug=Rn.21113 /len=462
rc_AI059629_at	242.6	A	0.218983	0.5	NC	0.281070	rc_AI059629 UI-R-C1-le-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-c-10-0-UI /clone_end=3  /gb=AI059629 /ug=Rn.19235 /len=368
rc_AI059630_at	55.3	A	0.781017	-0.3	NC	0.500000	rc_AI059630 UI-R-C1-le-c-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-c-11-0-UI /clone_end=3  /gb=AI059630 /ug=Rn.19236 /len=381
rc_AI059631_at	25.5	A	0.849473	0.9	NC	0.287410	rc_AI059631 UI-R-C1-le-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-c-12-0-UI /clone_end=3  /gb=AI059631 /ug=Rn.21115 /len=474
rc_AI059634_at	84.0	A	0.302547	-0.7	NC	0.500000	rc_AI059634 UI-R-C1-le-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-d-09-0-UI /clone_end=3  /gb=AI059634 /ug=Rn.21116 /len=366
rc_AI059638_at	254.3	A	0.127645	0.3	NC	0.500000	rc_AI059638 UI-R-C1-le-e-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-e-07-0-UI /clone_end=3  /gb=AI059638 /ug=Rn.19239 /len=433
rc_AI059639_at	121.9	A	0.073830	-0.0	NC	0.500000	rc_AI059639 UI-R-C1-le-e-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-e-08-0-UI /clone_end=3  /gb=AI059639 /ug=Rn.1799 /len=422
rc_AI059652_at	2.8	A	0.975289	-2.5	NC	0.815287	rc_AI059652 UI-R-C1-le-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-g-10-0-UI /clone_end=3  /gb=AI059652 /ug=Rn.19448 /len=478
rc_AI059659_at	96.0	A	0.520620	-0.4	NC	0.772757	rc_AI059659 UI-R-C1-lg-a-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-a-02-0-UI /clone_end=3  /gb=AI059659 /ug=Rn.19240 /len=425
rc_AI059661_at	50.2	A	0.781055	-1.1	NC	0.962166	rc_AI059661 UI-R-C1-lg-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-a-09-0-UI /clone_end=3  /gb=AI059661 /ug=Rn.17983 /len=477
rc_AI059662_at	200.5	P	0.013092	-0.2	NC	0.965146	rc_AI059662 UI-R-C1-lg-a-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-a-10-0-UI /clone_end=3  /gb=AI059662 /ug=Rn.19241 /len=454
rc_AI059664_at	214.7	P	0.027860	-0.1	NC	0.500000	rc_AI059664 UI-R-C1-lg-a-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lg-a-12-0-UI /clone_end=3  /gb=AI059664 /ug=Rn.21119 /len=316
